timestamp,ecg,ppg,heart_rate
3058.925,374.0,0.8085,60.0
3058.928,322.0,0.3297,60.0
3058.931,387.0,1.0048,60.0
3058.934,308.0,0.2325,60.0
3058.937,397.0,1.1896,60.0
3058.94,296.0,0.1677,60.0
3058.947,406.0,1.3626,60.0
3058.954,289.0,0.1409,60.0
3058.96,410.0,1.4824,60.0
3058.966,289.0,0.1816,60.0
3058.969,414.0,1.5,60.0
3058.973,291.0,0.2324,60.0
3058.978,417.0,1.5,60.0
3058.982,310.0,0.3858,60.0
3058.984,416.0,1.5,60.0
3058.993,312.0,0.4506,60.0
3058.999,390.0,1.4594,60.0
3059.002,312.0,0.6198,60.0
3059.006,375.0,1.4037,60.0
3059.013,323.0,0.7898,60.0
3059.016,356.0,1.2581,60.0
3059.022,338.0,0.9925,60.0
3059.025,341.0,1.1048,60.0
3059.029,354.0,1.169,60.0
3059.032,295.0,0.7481,60.0
3059.035,352.0,1.3802,60.0
3059.043,379.0,1.2492,60.0
3059.051,461.0,1.5,60.0
3059.058,348.0,0.4936,60.0
3059.061,419.0,1.4682,60.0
3059.067,291.0,0.3262,60.0
3059.075,389.0,1.5,60.0
3059.078,276.0,0.3416,60.0
3059.081,399.0,1.5,60.0
3059.084,274.0,0.2276,60.0
3059.087,401.0,1.5,60.0
3059.09,278.0,0.1843,60.0
3059.096,397.0,1.4834,60.0
3059.099,282.0,0.168,60.0
3059.105,386.0,1.3366,60.0
3059.113,291.0,0.2163,60.0
3059.12,376.0,1.1716,60.0
3059.124,301.0,0.2677,60.0
3059.129,359.0,0.9629,60.0
3059.132,314.0,0.3765,60.0
3059.138,342.0,0.7447,60.0
3059.141,332.0,0.5219,60.0
3059.144,333.0,0.5573,60.0
3059.153,356.0,0.672,60.0
3059.157,327.0,0.3674,60.0
3059.163,378.0,0.8054,60.0
3059.166,317.0,0.1743,60.0
3059.169,394.0,0.9342,60.0
3059.176,306.0,0.1,60.0
3059.179,404.0,1.044,60.0
3059.183,298.0,0.1,60.0
3059.186,412.0,1.1393,60.0
3059.189,292.0,0.1,60.0
3059.195,417.0,1.2185,60.0
3059.198,291.0,0.1,60.0
3059.202,414.0,1.236,60.0
3059.209,293.0,0.1,60.0
3059.214,410.0,1.2425,60.0
3059.217,299.0,0.1,60.0
3059.22,401.0,1.2073,60.0
3059.224,306.0,0.1543,60.0
3059.227,387.0,1.1435,60.0
3059.236,320.0,0.3657,60.0
3059.239,373.0,1.0487,60.0
3059.242,336.0,0.592,60.0
3059.245,363.0,0.9695,60.0
3059.253,354.0,0.8107,60.0
3059.261,348.0,0.8494,60.0
3059.267,381.0,1.1062,60.0
3059.27,340.0,0.723,60.0
3059.273,394.0,1.2783,60.0
3059.276,318.0,0.5769,60.0
3059.283,392.0,1.4235,60.0
3059.286,298.0,0.51,60.0
3059.293,399.0,1.5,60.0
3059.296,289.0,0.4546,60.0
3059.299,404.0,1.5,60.0
3059.306,282.0,0.4103,60.0
3059.315,409.0,1.5,60.0
3059.319,267.0,0.3061,60.0
3059.322,367.0,1.5,60.0
3059.329,342.0,0.9646,60.0
3059.333,475.0,1.5,60.0
3059.336,359.0,0.5129,60.0
3059.343,412.0,1.3996,60.0
3059.349,316.0,0.5445,60.0
3059.352,365.0,1.3018,60.0
3059.358,310.0,0.7075,60.0
3059.362,358.0,1.249,60.0
3059.365,327.0,0.7993,60.0
3059.37,342.0,1.0189,60.0
3059.373,343.0,0.9229,60.0
3059.383,328.0,0.7996,60.0
3059.386,357.0,1.0193,60.0
3059.39,310.0,0.5623,60.0
3059.397,373.0,1.1449,60.0
3059.4,297.0,0.3435,60.0
3059.403,382.0,1.2033,60.0
3059.406,283.0,0.1546,60.0
3059.414,388.0,1.2508,60.0
3059.423,275.0,0.1,60.0
3059.427,394.0,1.273,60.0
3059.43,274.0,0.1,60.0
3059.436,405.0,1.297,60.0
3059.443,283.0,0.1,60.0
3059.452,410.0,1.2438,60.0
3059.455,295.0,0.1,60.0
3059.461,408.0,1.1439,60.0
3059.468,304.0,0.1,60.0
3059.476,398.0,1.0224,60.0
3059.483,314.0,0.1,60.0
3059.486,384.0,0.8841,60.0
3059.489,329.0,0.2066,60.0
3059.492,369.0,0.7272,60.0
3059.495,344.0,0.3858,60.0
3059.502,354.0,0.5822,60.0
3059.506,361.0,0.5885,60.0
3059.513,336.0,0.4205,60.0
3059.516,379.0,0.8229,60.0
3059.522,321.0,0.2816,60.0
3059.525,388.0,0.9973,60.0
3059.528,309.0,0.2139,60.0
3059.531,403.0,1.2,60.0
3059.534,300.0,0.1404,60.0
3059.537,409.0,1.3387,60.0
3059.546,292.0,0.1217,60.0
3059.549,419.0,1.4991,60.0
3059.555,290.0,0.1206,60.0
3059.558,427.0,1.5,60.0
3059.563,303.0,0.2183,60.0
3059.571,430.0,1.5,60.0
3059.576,297.0,0.2236,60.0
3059.579,403.0,1.5,60.0
3059.584,300.0,0.427,60.0
3059.591,392.0,1.5,60.0
3059.594,309.0,0.5786,60.0
3059.599,374.0,1.4013,60.0
3059.603,324.0,0.7915,60.0
3059.605,360.0,1.2699,60.0
3059.61,337.0,0.9614,60.0
3059.619,305.0,0.8909,60.0
3059.622,388.0,1.5,60.0
3059.626,393.0,1.1678,60.0
3059.629,444.0,1.4461,60.0
3059.637,336.0,0.5373,60.0
3059.64,412.0,1.5,60.0
3059.65,291.0,0.4069,60.0
3059.653,385.0,1.5,60.0
3059.658,280.0,0.4443,60.0
3059.661,397.0,1.5,60.0
3059.668,275.0,0.3129,60.0
3059.675,402.0,1.5,60.0
3059.68,273.0,0.2263,60.0
3059.686,399.0,1.5,60.0
3059.691,276.0,0.2037,60.0
3059.694,394.0,1.4973,60.0
3059.696,278.0,0.1812,60.0
3059.701,385.0,1.3728,60.0
3059.704,288.0,0.2254,60.0
3059.707,375.0,1.2022,60.0
3059.713,299.0,0.2817,60.0
3059.717,359.0,0.993,60.0
3059.72,315.0,0.4016,60.0
3059.723,348.0,0.7936,60.0
3059.726,337.0,0.5384,60.0
3059.729,338.0,0.5771,60.0
3059.732,362.0,0.6961,60.0
3059.739,328.0,0.3546,60.0
3059.743,380.0,0.8216,60.0
3059.746,312.0,0.1414,60.0
3059.753,393.0,0.9581,60.0
3059.758,302.0,0.1,60.0
3059.761,402.0,1.0525,60.0
3059.768,290.0,0.1,60.0
3059.776,408.0,1.1512,60.0
3059.783,287.0,0.1,60.0
3059.786,415.0,1.2231,60.0
3059.794,286.0,0.1,60.0
3059.802,411.0,1.2307,60.0
3059.808,288.0,0.1,60.0
3059.812,406.0,1.2277,60.0
3059.815,296.0,0.1,60.0
3059.818,395.0,1.1677,60.0
3059.825,304.0,0.1525,60.0
3059.828,385.0,1.1207,60.0
3059.832,319.0,0.3483,60.0
3059.839,370.0,1.0137,60.0
3059.843,335.0,0.5788,60.0
3059.846,364.0,0.9582,60.0
3059.849,363.0,0.8377,60.0
3059.856,355.0,0.8248,60.0
3059.86,374.0,1.0083,60.0
3059.863,323.0,0.6358,60.0
3059.866,377.0,1.2422,60.0
3059.869,306.0,0.5721,60.0
3059.872,389.0,1.4492,60.0
3059.88,292.0,0.4743,60.0
3059.883,397.0,1.5,60.0
3059.888,282.0,0.4115,60.0
3059.891,402.0,1.5,60.0
3059.894,250.0,0.2213,60.0
3059.9,408.0,1.5,60.0
3059.904,348.0,0.7946,60.0
3059.907,467.0,1.5,60.0
3059.912,323.0,0.3526,60.0
3059.915,419.0,1.5,60.0
3059.921,303.0,0.4633,60.0
3059.925,377.0,1.4782,60.0
3059.928,295.0,0.6041,60.0
3059.935,372.0,1.4613,60.0
3059.945,311.0,0.6928,60.0
3059.948,357.0,1.2539,60.0
3059.955,326.0,0.8158,60.0
3059.958,342.0,1.0426,60.0
3059.965,344.0,0.9488,60.0
3059.971,325.0,0.7974,60.0
3059.974,357.0,1.0558,60.0
3059.977,307.0,0.5663,60.0
3059.98,371.0,1.1701,60.0
3059.983,291.0,0.3397,60.0
3059.986,378.0,1.2313,60.0
3059.989,278.0,0.1662,60.0
3059.995,389.0,1.3028,60.0
3059.998,274.0,0.1,60.0
3060.001,405.0,1.363,60.0
